Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
NZ_JBIWIT010000029.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Aerococcaceae, Aerococcus, viridans
NZ_AMZK01000007.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Aerococcaceae, Aerococcus, christensenii
NZ_KQ955743.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Alloscardovia, omnicolens
NZ_KV803777.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Anaerococcus
NZ_GG666064.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Anaerococcus, lactolyticus
NZ_GG666315.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Anaerococcus, tetradius
NZ_KE952952.1, Bacteria, Actinomycetota, Coriobacteriia, Coriobacteriales, Atopobiaceae, Atopobium
NZ_QSQE01000022.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium, bifidum
NZ_JAWWYB010000046.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Bifidobacterium, breve
NZ_JAJCRT010000018.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Dialister, invisus
NZ_GL878522.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Dialister, micraerophilus
NZ_KQ961074.1, Bacteria, Actinomycetota, Coriobacteriia, Coriobacteriales, Atopobiaceae, Fannyhessea, vaginae
NZ_JAJDKT010000074.1, Bacteria, Fusobacteriia, Fusobacteriales, Fusobacteriaceae, Fusobacterium, Fusobacterium, ulcerans
NZ_JBGONE010000038.1, Bacteria, Fusobacteriia, Fusobacteriales, Fusobacteriaceae, Fusobacterium, Fusobacterium, animalis
NZ_KI518418.1, Bacteria, Fusobacteriia, Fusobacteriales, Fusobacteriaceae, Fusobacterium, Fusobacterium, nucleatum
NZ_NQOJ01000020.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Gardnerella, vaginalis
NR_171541.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Gardnerella, leopoldii
NZ_QJVB01000008.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Gardnerella, swidsinskii
NZ_NQOJ01000020.1, Bacteria, Actinomycetota, Actinomycetes, Bifidobacteriales, Bifidobacteriaceae, Gardnerella, vaginalis
NZ_WBMB01000033.1, Bacteria, Pseudomonadota, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus, parainfluenzae
NR_025423.1, Bacteria, Pseudomonadota, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Haemophilus, pittmaniae
NZ_ADEF01000068.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Hoylesella, Hoylesella, timonensis
NZ_WUBT01000032.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, crispatus
NZ_WUBT01000032.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, crispatus
NZ_JAWWWY010000070.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, gasseri
NZ_PNGO01000009.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, iners
NZ_JAWWXF010000042.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, jensenii
NZ_JAVTXF010000046.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, mulieris
NZ_CABTXI010000220.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, uncultured, Megasphaera
NZ_NFMF01000018.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Megasphaera, hutchinsoni
NZ_AFIJ01000031.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Megasphaera, lornae
NZ_FNWT01000022.1, Bacteria, Actinomycetota, Coriobacteriia, Coriobacteriales, Atopobiaceae, Parafannyhessea, umbonata
NZ_JANDZW010000012.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Parvimonas, micra
NZ_JASOSB010000012.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Peptoniphilus, harei
NZ_JBBNGY010000024.1, Bacteria, Bacillota, Tissierellia, Tissierellales, Peptoniphilaceae, Peptoniphilus, lacrimalis
NZ_CAXUJS010000060.1, Bacteria, Bacillota, Clostridia, Peptostreptococcales, Peptostreptococcaceae, Peptostreptococcus, anaerobius
NZ_QPGS01000077.1, Bacteria, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas, Porphyromonas, gingivalis
NZ_JAERMS010000083.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, illustrans
NZ_JRNU01000149.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, amnii
NZ_KQ971204.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, bivia
NZ_JRNR01000257.1, Bacteria, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella, disiens
NZ_JASSPP010000023.1, Bacteria, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Sneathia, Sneathia, sanguinegens
NZ_JBHLSP010000031.1, Bacteria, Fusobacteriia, Fusobacteriales, Leptotrichiaceae, Sneathia, Sneathia, vaginalis
NZ_VYVJ01000030.1, Bacteria, Bacillota, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, anginosus
NZ_ABES01000007.1, Bacteria, Mycoplasmatota, Mycoplasmoidales, Mycoplasmoidaceae, Ureaplasma, Ureaplasma, parvum
NZ_JRNT01000025.1, Bacteria, Bacillota, Negativicutes, Veillonellales, Veillonellaceae, Veillonella, montpellierensis
